Experiment,Topic,ID,Question,Response,CorrectAnswer,label
1,Physics,126,a common application of laser in medicine be,lasix eye surgery,remove skin discoloration or tumor,1
1,Physics,130,a common application of laser in medicine be,eye surgery,remove skin discoloration or tumor,1
1,Physics,131,a common application of laser in medicine be,laskic eye surgury,remove skin discoloration or tumor,1
1,Physics,156,a common application of laser in medicine be,lasik or tumor removal,remove skin discoloration or tumor,1
1,Physics,161,a common application of laser in medicine be,lasik eye surger tumor removal and,remove skin discoloration or tumor,1
1,Physics,170,a common application of laser in medicine be,lasik or remove tumor,remove skin discoloration or tumor,1
1,Physics,184,a common application of laser in medicine be,lasik or tumor removal,remove skin discoloration or tumor,1
1,Physics,185,a common application of laser in medicine be,lasik eye surgery,remove skin discoloration or tumor,1
1,Physics,192,a common application of laser in medicine be,lasic,remove skin discoloration or tumor,1
1,Physics,201,a common application of laser in medicine be,lasik,remove skin discoloration or tumor,1
1,Physics,206,a common application of laser in medicine be,eye surgery and deal with tumor,remove skin discoloration or tumor,1
1,Physics,220,a common application of laser in medicine be,lasik eye surgery,remove skin discoloration or tumor,1
1,Physics,234,a common application of laser in medicine be,lasik eye surgery and remove tumor and skin discoloration,remove skin discoloration or tumor,1
1,Physics,243,a common application of laser in medicine be,lasik eye surgery,remove skin discoloration or tumor,1
1,Physics,250,a common application of laser in medicine be,lasik surgery,remove skin discoloration or tumor,1
1,Physics,261,a common application of laser in medicine be,lasic eye surgery,remove skin discoloration or tumor,1
1,Physics,268,a common application of laser in medicine be,lasik,remove skin discoloration or tumor,1
1,Physics,279,a common application of laser in medicine be,remove tumor from the body,remove skin discoloration or tumor,1
1,Physics,288,a common application of laser in medicine be,lasik eye surgery,remove skin discoloration or tumor,1
1,Physics,292,a common application of laser in medicine be,lasik eye surgery use in many of the machine as well,remove skin discoloration or tumor,1
1,Physics,295,a common application of laser in medicine be,laser eye surgery,remove skin discoloration or tumor,1
1,Physics,305,a common application of laser in medicine be,lasik or skin treatment,remove skin discoloration or tumor,1
1,Physics,316,a common application of laser in medicine be,lasik eye surgery remove tumor treat skin condition,remove skin discoloration or tumor,1
1,Physics,317,a common application of laser in medicine be,lasik eye surgery,remove skin discoloration or tumor,1
1,Physics,329,a common application of laser in medicine be,lasik eye surgery,remove skin discoloration or tumor,1
1,Physics,336,a common application of laser in medicine be,lasik remove tumor fix skin discoloration,remove skin discoloration or tumor,1
1,Physics,353,a common application of laser in medicine be,lasik surgery,remove skin discoloration or tumor,1
1,Physics,357,a common application of laser in medicine be,lasik,remove skin discoloration or tumor,1
1,Physics,371,a common application of laser in medicine be,lasik,remove skin discoloration or tumor,1
1,Physics,375,a common application of laser in medicine be,lasik or removal of tumor,remove skin discoloration or tumor,1
1,Physics,104,what be the strategic defense initiative sdi commonly know as,send a reactor to space,the star war program,-1
1,Physics,126,what be the strategic defense initiative sdi commonly know as,star war project,the star war program,1
1,Physics,130,what be the strategic defense initiative sdi commonly know as,star war program,the star war program,1
1,Physics,131,what be the strategic defense initiative sdi commonly know as,to protect people from laser,the star war program,-1
1,Physics,156,what be the strategic defense initiative sdi commonly know as,star war,the star war program,1
1,Physics,161,what be the strategic defense initiative sdi commonly know as,star war program,the star war program,1
1,Physics,170,what be the strategic defense initiative sdi commonly know as,star war or space war,the star war program,1
1,Physics,184,what be the strategic defense initiative sdi commonly know as,star war initiative,the star war program,1
1,Physics,185,what be the strategic defense initiative sdi commonly know as,I do not remember,the star war program,-1
1,Physics,192,what be the strategic defense initiative sdi commonly know as,0,the star war program,-1
1,Physics,201,what be the strategic defense initiative sdi commonly know as,star war program,the star war program,1
1,Physics,206,what be the strategic defense initiative sdi commonly know as,star war program,the star war program,1
1,Physics,220,what be the strategic defense initiative sdi commonly know as,the star war initiative,the star war program,1
1,Physics,234,what be the strategic defense initiative sdi commonly know as,star war,the star war program,1
1,Physics,243,what be the strategic defense initiative sdi commonly know as,its commonly know as a,the star war program,-1
1,Physics,250,what be the strategic defense initiative sdi commonly know as,s,the star war program,-1
1,Physics,261,what be the strategic defense initiative sdi commonly know as,laser military defense,the star war program,-1
1,Physics,268,what be the strategic defense initiative sdi commonly know as,the star war plan,the star war program,1
1,Physics,279,what be the strategic defense initiative sdi commonly know as,the star war program,the star war program,1
1,Physics,288,what be the strategic defense initiative sdi commonly know as,I do not remember,the star war program,-1
1,Physics,292,what be the strategic defense initiative sdi commonly know as,do not remember this one,the star war program,-1
1,Physics,295,what be the strategic defense initiative sdi commonly know as,0,the star war program,-1
1,Physics,305,what be the strategic defense initiative sdi commonly know as,ronald reagans plan to have missile in orbit,the star war program,-1
1,Physics,316,what be the strategic defense initiative sdi commonly know as,the star war initiative,the star war program,1
1,Physics,317,what be the strategic defense initiative sdi commonly know as,the star war initiative,the star war program,1
1,Physics,329,what be the strategic defense initiative sdi commonly know as,military,the star war program,-1
1,Physics,336,what be the strategic defense initiative sdi commonly know as,star war,the star war program,1
1,Physics,353,what be the strategic defense initiative sdi commonly know as,star war defense,the star war program,1
1,Physics,357,what be the strategic defense initiative sdi commonly know as,nasa,the star war program,-1
1,Physics,371,what be the strategic defense initiative sdi commonly know as,laser,the star war program,-1
1,Physics,375,what be the strategic defense initiative sdi commonly know as,star war,the star war program,1
1,Physics,104,in 2014 where do the us navy test a laser weapon system,in space,the persian gulf,-1
1,Physics,126,in 2014 where do the us navy test a laser weapon system,persian gulf,the persian gulf,1
1,Physics,130,in 2014 where do the us navy test a laser weapon system,cuba,the persian gulf,-1
1,Physics,131,in 2014 where do the us navy test a laser weapon system,pacific island,the persian gulf,-1
1,Physics,156,in 2014 where do the us navy test a laser weapon system,persian gulf,the persian gulf,1
1,Physics,161,in 2014 where do the us navy test a laser weapon system,puerto rico,the persian gulf,-1
1,Physics,170,in 2014 where do the us navy test a laser weapon system,0,the persian gulf,-1
1,Physics,184,in 2014 where do the us navy test a laser weapon system,they test a laser defense system that would either cripple or d,the persian gulf,-1
1,Physics,185,in 2014 where do the us navy test a laser weapon system,I do not remember,the persian gulf,-1
1,Physics,192,in 2014 where do the us navy test a laser weapon system,in space,the persian gulf,-1
1,Physics,201,in 2014 where do the us navy test a laser weapon system,persian gulf,the persian gulf,1
1,Physics,206,in 2014 where do the us navy test a laser weapon system,persian gulf,the persian gulf,1
1,Physics,220,in 2014 where do the us navy test a laser weapon system,I do not remember,the persian gulf,-1
1,Physics,234,in 2014 where do the us navy test a laser weapon system,in the persian gulf,the persian gulf,1
1,Physics,243,in 2014 where do the us navy test a laser weapon system,0,the persian gulf,-1
1,Physics,250,in 2014 where do the us navy test a laser weapon system,I do not know,the persian gulf,-1
1,Physics,261,in 2014 where do the us navy test a laser weapon system,I do not know,the persian gulf,-1
1,Physics,268,in 2014 where do the us navy test a laser weapon system,the persian gulf,the persian gulf,1
1,Physics,279,in 2014 where do the us navy test a laser weapon system,california,the persian gulf,-1
1,Physics,288,in 2014 where do the us navy test a laser weapon system,middle east,the persian gulf,-1
1,Physics,292,in 2014 where do the us navy test a laser weapon system,atalti,the persian gulf,-1
1,Physics,295,in 2014 where do the us navy test a laser weapon system,I,the persian gulf,-1
1,Physics,305,in 2014 where do the us navy test a laser weapon system,in space,the persian gulf,-1
1,Physics,316,in 2014 where do the us navy test a laser weapon system,persian gulf,the persian gulf,1
1,Physics,317,in 2014 where do the us navy test a laser weapon system,off the coast of the virgin islands or puerto rico,the persian gulf,-1
1,Physics,329,in 2014 where do the us navy test a laser weapon system,,the persian gulf,-1
1,Physics,336,in 2014 where do the us navy test a laser weapon system,the ocean,the persian gulf,1
1,Physics,353,in 2014 where do the us navy test a laser weapon system,outer space,the persian gulf,-1
1,Physics,357,in 2014 where do the us navy test a laser weapon system,space,the persian gulf,-1
1,Physics,371,in 2014 where do the us navy test a laser weapon system,space,the persian gulf,-1
1,Physics,375,in 2014 where do the us navy test a laser weapon system,gulf coast,the persian gulf,-1
1,Physics,104,why be laser cheap than conventional missile,it be just electron use a conductor they can,because the only cost be the energy it take to make the laser,-1
1,Physics,126,why be laser cheap than conventional missile,cost less to produce,because the only cost be the energy it take to make the laser,-1
1,Physics,130,why be laser cheap than conventional missile,they do not have to be remanufacture and store,because the only cost be the energy it take to make the laser,0
1,Physics,131,why be laser cheap than conventional missile,the lazer can have two differnt mode completly destroy the target or just destroyi,because the only cost be the energy it take to make the laser,-1
1,Physics,156,why be laser cheap than conventional missile,the only cost be the energy need to run the laser,because the only cost be the energy it take to make the laser,1
1,Physics,161,why be laser cheap than conventional missile,you only have to pay for the energy to create the laser vs storage and material for all of the part of a missle,because the only cost be the energy it take to make the laser,1
1,Physics,170,why be laser cheap than conventional missile,because you do not have to buy the material you just need to factir in the cost of ma,because the only cost be the energy it take to make the laser,-1
1,Physics,184,why be laser cheap than conventional missile,you only pay for the laser and the energy rather than the missle the fuel the launch and its reusable,because the only cost be the energy it take to make the laser,1
1,Physics,185,why be laser cheap than conventional missile,less materials/ material thatand more consistent,because the only cost be the energy it take to make the laser,-1
1,Physics,192,why be laser cheap than conventional missile,they take up less space and be easy to make,because the only cost be the energy it take to make the laser,0
1,Physics,201,why be laser cheap than conventional missile,the only cost associate with laser be to provide the energy to they as compare to missile where you will need mter,because the only cost be the energy it take to make the laser,1
1,Physics,206,why be laser cheap than conventional missile,missile have to be store source material etc la,because the only cost be the energy it take to make the laser,1
1,Physics,220,why be laser cheap than conventional missile,because they only cost as much as the energy need to power they rather than have to source and store all of the physical material,because the only cost be the energy it take to make the laser,1
1,Physics,234,why be laser cheap than conventional missile,the only that it take be the energy that the laser have not the material to make and store,because the only cost be the energy it take to make the laser,1
1,Physics,243,why be laser cheap than conventional missile,because of how they be make,because the only cost be the energy it take to make the laser,-1
1,Physics,250,why be laser cheap than conventional missile,they do not take a lot of power and be small,because the only cost be the energy it take to make the laser,-1
1,Physics,261,why be laser cheap than conventional missile,they use less material to produce and operate,because the only cost be the energy it take to make the laser,-1
1,Physics,268,why be laser cheap than conventional missile,conventional missile need to be build store and pay for repeatedly,because the only cost be the energy it take to make the laser,1
1,Physics,279,why be laser cheap than conventional missile,because they only need the medium and the coil that go around it,because the only cost be the energy it take to make the laser,-1
1,Physics,288,why be laser cheap than conventional missile,it only cost how much to make they do not have to pay for they to be store or the material,because the only cost be the energy it take to make the laser,1
1,Physics,292,why be laser cheap than conventional missile,they have more uniform wavelength,because the only cost be the energy it take to make the laser,-1
1,Physics,295,why be laser cheap than conventional missile,because of the material ne,because the only cost be the energy it take to make the laser,-1
1,Physics,305,why be laser cheap than conventional missile,0,because the only cost be the energy it take to make the laser,-1
1,Physics,316,why be laser cheap than conventional missile,the only thing that need to be pay for be the energy it take to produce the laser,because the only cost be the energy it take to make the laser,1
1,Physics,317,why be laser cheap than conventional missile,laser only cost outside of production be the energy require to create the laser whereas you need to store and house missile as well as source the material,because the only cost be the energy it take to make the laser,1
1,Physics,329,why be laser cheap than conventional missile,ecause you only have to pay for the material to make the laser and nothing beyond,because the only cost be the energy it take to make the laser,1
1,Physics,336,why be laser cheap than conventional missile,the only cost be the energy use to produce a laser vs material time worker and,because the only cost be the energy it take to make the laser,1
1,Physics,353,why be laser cheap than conventional missile,require less material,because the only cost be the energy it take to make the laser,-1
1,Physics,357,why be laser cheap than conventional missile,they use less material do not need to be store only loss be energy,because the only cost be the energy it take to make the laser,1
1,Physics,371,why be laser cheap than conventional missile,less resource to manufacture,because the only cost be the energy it take to make the laser,-1
1,Physics,375,why be laser cheap than conventional missile,its only cost be produce the energy unlike get material and manu,because the only cost be the energy it take to make the laser,1
1,Physics,104,what industry be one of the big user of laser,manufacture,the military,-1
1,Physics,126,what industry be one of the big user of laser,the military,the military,1
1,Physics,130,what industry be one of the big user of laser,defense,the military,0
1,Physics,131,what industry be one of the big user of laser,military,the military,1
1,Physics,156,what industry be one of the big user of laser,military,the military,1
1,Physics,161,what industry be one of the big user of laser,the military for weapon,the military,1
1,Physics,170,what industry be one of the big user of laser,clothing company because they can cut cloth fast and accurately,the military,-1
1,Physics,184,what industry be one of the big user of laser,military defense,the military,1
1,Physics,185,what industry be one of the big user of laser,industrial or textile,the military,-1
1,Physics,192,what industry be one of the big user of laser,movie industry,the military,-1
1,Physics,201,what industry be one of the big user of laser,fabric,the military,-1
1,Physics,206,what industry be one of the big user of laser,military,the military,1
1,Physics,220,what industry be one of the big user of laser,the military,the military,1
1,Physics,234,what industry be one of the big user of laser,medicine cd an,the military,-1
1,Physics,243,what industry be one of the big user of laser,the medicine industry,the military,-1
1,Physics,250,what industry be one of the big user of laser,0,the military,-1
1,Physics,261,what industry be one of the big user of laser,clothing,the military,-1
1,Physics,268,what industry be one of the big user of laser,the military,the military,1
1,Physics,279,what industry be one of the big user of laser,the clothing industry,the military,-1
1,Physics,288,what industry be one of the big user of laser,technology like interne,the military,-1
1,Physics,292,what industry be one of the big user of laser,lasik eye surgery,the military,-1
1,Physics,295,what industry be one of the big user of laser,0,the military,-1
1,Physics,305,what industry be one of the big user of laser,medical movie,the military,-1
1,Physics,316,what industry be one of the big user of laser,clothing company,the military,-1
1,Physics,317,what industry be one of the big user of laser,the us military the dvd movie player industry and the clothing industry,the military,1
1,Physics,329,what industry be one of the big user of laser,military,the military,1
1,Physics,336,what industry be one of the big user of laser,us military,the military,1
1,Physics,353,what industry be one of the big user of laser,clothing,the military,-1
1,Physics,357,what industry be one of the big user of laser,manufacture clothing,the military,-1
1,Physics,371,what industry be one of the big user of laser,clothing,the military,-1
1,Physics,375,what industry be one of the big user of laser,fabric cutting,the military,-1
1,Statistics,103,name one potential disadvantage of experiment,different type of bias can easily come into play,unethical not interested in causality expensive or difficult to run,-1
1,Statistics,112,name one potential disadvantage of experiment,could be consider unethical,unethical not interested in causality expensive or difficult to run,1
1,Statistics,133,name one potential disadvantage of experiment,there might be a cofunding variable that be not include bias will,unethical not interested in causality expensive or difficult to run,-1
1,Statistics,137,name one potential disadvantage of experiment,hard to run,unethical not interested in causality expensive or difficult to run,1
1,Statistics,140,name one potential disadvantage of experiment,skewed result,unethical not interested in causality expensive or difficult to run,-1
1,Statistics,167,name one potential disadvantage of experiment,there may be artificial environment which take away many factor relate to the expiriement also c,unethical not interested in causality expensive or difficult to run,-1
1,Statistics,177,name one potential disadvantage of experiment,they be sometimes unethical to conduct,unethical not interested in causality expensive or difficult to run,1
1,Statistics,178,name one potential disadvantage of experiment,there may be many outside factor that be not see cause result,unethical not interested in causality expensive or difficult to run,-1
1,Statistics,186,name one potential disadvantage of experiment,they can be expensive,unethical not interested in causality expensive or difficult to run,1
1,Statistics,189,name one potential disadvantage of experiment,they be unethical,unethical not interested in causality expensive or difficult to run,1
1,Statistics,204,name one potential disadvantage of experiment,exspensive,unethical not interested in causality expensive or difficult to run,1
1,Statistics,216,name one potential disadvantage of experiment,you forget,unethical not interested in causality expensive or difficult to run,-1
1,Statistics,222,name one potential disadvantage of experiment,some variable,unethical not interested in causality expensive or difficult to run,-1
1,Statistics,225,name one potential disadvantage of experiment,if the sample be not randomize the experiment cannt,unethical not interested in causality expensive or difficult to run,-1
1,Statistics,236,name one potential disadvantage of experiment,can be unethical,unethical not interested in causality expensive or difficult to run,1
1,Statistics,240,name one potential disadvantage of experiment,some variable can have affect that you I,unethical not interested in causality expensive or difficult to run,-1
1,Statistics,249,name one potential disadvantage of experiment,its hard to experiment when it could be un,unethical not interested in causality expensive or difficult to run,-1
1,Statistics,263,name one potential disadvantage of experiment,time money and ethic it could be unethical,unethical not interested in causality expensive or difficult to run,1
1,Statistics,272,name one potential disadvantage of experiment,they take more time than,unethical not interested in causality expensive or difficult to run,-1
1,Statistics,286,name one potential disadvantage of experiment,it can be bias,unethical not interested in causality expensive or difficult to run,-1
1,Statistics,293,name one potential disadvantage of experiment,they be costly,unethical not interested in causality expensive or difficult to run,1
1,Statistics,314,name one potential disadvantage of experiment,it be expensive to do,unethical not interested in causality expensive or difficult to run,1
1,Statistics,319,name one potential disadvantage of experiment,a disadvantage could be that someone be harm while participate,unethical not interested in causality expensive or difficult to run,1
1,Statistics,330,name one potential disadvantage of experiment,it be not always ethical to test thing like the direct effect cigarette have on someone,unethical not interested in causality expensive or difficult to run,1
1,Statistics,340,name one potential disadvantage of experiment,they could cost too much to do,unethical not interested in causality expensive or difficult to run,1
1,Statistics,341,name one potential disadvantage of experiment,unethical,unethical not interested in causality expensive or difficult to run,1
1,Statistics,355,name one potential disadvantage of experiment,they can be bias,unethical not interested in causality expensive or difficult to run,-1
1,Statistics,364,name one potential disadvantage of experiment,they may be unethical,unethical not interested in causality expensive or difficult to run,1
1,Statistics,366,name one potential disadvantage of experiment,some question can not be answer by,unethical not interested in causality expensive or difficult to run,-1
1,Statistics,401,name one potential disadvantage of experiment,people not want to do they,unethical not interested in causality expensive or difficult to run,-1
1,Statistics,103,what sampling method ensure that every member of the sample have an equal chance of be pick,randomization,simple random sampling,1
1,Statistics,112,what sampling method ensure that every member of the sample have an equal chance of be pick,random,simple random sampling,1
1,Statistics,133,what sampling method ensure that every member of the sample have an equal chance of be pick,random sampling,simple random sampling,1
1,Statistics,137,what sampling method ensure that every member of the sample have an equal chance of be pick,random sampling,simple random sampling,1
1,Statistics,140,what sampling method ensure that every member of the sample have an equal chance of be pick,simple random sample,simple random sampling,1
1,Statistics,167,what sampling method ensure that every member of the sample have an equal chance of be pick,randomized sampling every person have the same chance of be pick,simple random sampling,1
1,Statistics,177,what sampling method ensure that every member of the sample have an equal chance of be pick,randomize sampling,simple random sampling,1
1,Statistics,178,what sampling method ensure that every member of the sample have an equal chance of be pick,random sampling,simple random sampling,1
1,Statistics,186,what sampling method ensure that every member of the sample have an equal chance of be pick,ssr,simple random sampling,-1
1,Statistics,189,what sampling method ensure that every member of the sample have an equal chance of be pick,random,simple random sampling,1
1,Statistics,204,what sampling method ensure that every member of the sample have an equal chance of be pick,random sampling,simple random sampling,1
1,Statistics,216,what sampling method ensure that every member of the sample have an equal chance of be pick,simple random sample randomization,simple random sampling,1
1,Statistics,222,what sampling method ensure that every member of the sample have an equal chance of be pick,simple random sampling,simple random sampling,1
1,Statistics,225,what sampling method ensure that every member of the sample have an equal chance of be pick,randomize,simple random sampling,1
1,Statistics,236,what sampling method ensure that every member of the sample have an equal chance of be pick,random sampling,simple random sampling,1
1,Statistics,240,what sampling method ensure that every member of the sample have an equal chance of be pick,random sampling,simple random sampling,1
1,Statistics,249,what sampling method ensure that every member of the sample have an equal chance of be pick,simple random sample,simple random sampling,1
1,Statistics,263,what sampling method ensure that every member of the sample have an equal chance of be pick,srs simple random sampling,simple random sampling,1
1,Statistics,272,what sampling method ensure that every member of the sample have an equal chance of be pick,random sampling,simple random sampling,1
1,Statistics,286,what sampling method ensure that every member of the sample have an equal chance of be pick,random sampl,simple random sampling,1
1,Statistics,293,what sampling method ensure that every member of the sample have an equal chance of be pick,random sampling,simple random sampling,1
1,Statistics,314,what sampling method ensure that every member of the sample have an equal chance of be pick,randomization,simple random sampling,1
1,Statistics,319,what sampling method ensure that every member of the sample have an equal chance of be pick,random sampling,simple random sampling,1
1,Statistics,330,what sampling method ensure that every member of the sample have an equal chance of be pick,random,simple random sampling,1
1,Statistics,340,what sampling method ensure that every member of the sample have an equal chance of be pick,simple random sampling srs,simple random sampling,1
1,Statistics,341,what sampling method ensure that every member of the sample have an equal chance of be pick,0,simple random sampling,-1
1,Statistics,355,what sampling method ensure that every member of the sample have an equal chance of be pick,random sampling,simple random sampling,1
1,Statistics,364,what sampling method ensure that every member of the sample have an equal chance of be pick,random,simple random sampling,1
1,Statistics,366,what sampling method ensure that every member of the sample have an equal chance of be pick,simple random sampling,simple random sampling,1
1,Statistics,401,what sampling method ensure that every member of the sample have an equal chance of be pick,simple random sample,simple random sampling,1
1,Statistics,103,over- or under representation of some group in the population produce a bias,experimental,selection bias,-1
1,Statistics,112,over- or under representation of some group in the population produce a bias,sample,selection bias,-1
1,Statistics,133,over- or under representation of some group in the population produce a bias,response,selection bias,-1
1,Statistics,137,over- or under representation of some group in the population produce a bias,selection,selection bias,1
1,Statistics,140,over- or under representation of some group in the population produce a bias,0,selection bias,-1
1,Statistics,167,over- or under representation of some group in the population produce a bias,sample,selection bias,-1
1,Statistics,177,over- or under representation of some group in the population produce a bias,representation bias,selection bias,-1
1,Statistics,178,over- or under representation of some group in the population produce a bias,po,selection bias,-1
1,Statistics,186,over- or under representation of some group in the population produce a bias,strong,selection bias,-1
1,Statistics,189,over- or under representation of some group in the population produce a bias,un,selection bias,-1
1,Statistics,204,over- or under representation of some group in the population produce a bias,representation,selection bias,-1
1,Statistics,216,over- or under representation of some group in the population produce a bias,response,selection bias,-1
1,Statistics,222,over- or under representation of some group in the population produce a bias,population,selection bias,-1
1,Statistics,225,over- or under representation of some group in the population produce a bias,unbiased,selection bias,-1
1,Statistics,236,over- or under representation of some group in the population produce a bias,sample,selection bias,-1
1,Statistics,240,over- or under representation of some group in the population produce a bias,0,selection bias,-1
1,Statistics,249,over- or under representation of some group in the population produce a bias,0,selection bias,-1
1,Statistics,263,over- or under representation of some group in the population produce a bias,diversity,selection bias,-1
1,Statistics,272,over- or under representation of some group in the population produce a bias,0,selection bias,-1
1,Statistics,286,over- or under representation of some group in the population produce a bias,0,selection bias,-1
1,Statistics,293,over- or under representation of some group in the population produce a bias,population,selection bias,-1
1,Statistics,314,over- or under representation of some group in the population produce a bias,sl,selection bias,-1
1,Statistics,319,over- or under representation of some group in the population produce a bias,population,selection bias,-1
1,Statistics,330,over- or under representation of some group in the population produce a bias,leave out,selection bias,-1
1,Statistics,340,over- or under representation of some group in the population produce a bias,representation,selection bias,-1
1,Statistics,341,over- or under representation of some group in the population produce a bias,0,selection bias,-1
1,Statistics,355,over- or under representation of some group in the population produce a bias,confirmation,selection bias,-1
1,Statistics,364,over- or under representation of some group in the population produce a bias,0,selection bias,-1
1,Statistics,366,over- or under representation of some group in the population produce a bias,samplle bias,selection bias,-1
1,Statistics,401,over- or under representation of some group in the population produce a bias,group,selection bias,-1
1,Statistics,103,what kind of bias can be produce by participant unwillingness to participate,participation bias,nonresponse bias,-1
1,Statistics,112,what kind of bias can be produce by participant unwillingness to participate,0,nonresponse bias,-1
1,Statistics,133,what kind of bias can be produce by participant unwillingness to participate,nonresponse bias,nonresponse bias,1
1,Statistics,137,what kind of bias can be produce by participant unwillingness to participate,response bias,nonresponse bias,-1
1,Statistics,140,what kind of bias can be produce by participant unwillingness to participate,result,nonresponse bias,-1
1,Statistics,167,what kind of bias can be produce by participant unwillingness to participate,the no answer bias or a wrong answer,nonresponse bias,-1
1,Statistics,177,what kind of bias can be produce by participant unwillingness to participate,unresponsive bias,nonresponse bias,1
1,Statistics,178,what kind of bias can be produce by participant unwillingness to participate,participant bias,nonresponse bias,-1
1,Statistics,186,what kind of bias can be produce by participant unwillingness to participate,forgetful bias,nonresponse bias,-1
1,Statistics,189,what kind of bias can be produce by participant unwillingness to participate,unbiased,nonresponse bias,-1
1,Statistics,204,what kind of bias can be produce by participant unwillingness to participate,unresponse bias,nonresponse bias,1
1,Statistics,216,what kind of bias can be produce by participant unwillingness to participate,0,nonresponse bias,-1
1,Statistics,222,what kind of bias can be produce by participant unwillingness to participate,non response bias,nonresponse bias,1
1,Statistics,225,what kind of bias can be produce by participant unwillingness to participate,resistant bias,nonresponse bias,-1
1,Statistics,236,what kind of bias can be produce by participant unwillingness to participate,response bias,nonresponse bias,-1
1,Statistics,240,what kind of bias can be produce by participant unwillingness to participate,idk,nonresponse bias,-1
1,Statistics,249,what kind of bias can be produce by participant unwillingness to participate,0,nonresponse bias,-1
1,Statistics,263,what kind of bias can be produce by participant unwillingness to participate,nonresponse bias,nonresponse bias,1
1,Statistics,272,what kind of bias can be produce by participant unwillingness to participate,negative,nonresponse bias,-1
1,Statistics,286,what kind of bias can be produce by participant unwillingness to participate,0,nonresponse bias,-1
1,Statistics,293,what kind of bias can be produce by participant unwillingness to participate,nonresponse bias,nonresponse bias,1
1,Statistics,314,what kind of bias can be produce by participant unwillingness to participate,unresponsive bias,nonresponse bias,1
1,Statistics,319,what kind of bias can be produce by participant unwillingness to participate,non response bias,nonresponse bias,1
1,Statistics,330,what kind of bias can be produce by participant unwillingness to participate,non answer bias,nonresponse bias,0
1,Statistics,340,what kind of bias can be produce by participant unwillingness to participate,nonresponse bias be cause by unwillingness to participate,nonresponse bias,1
1,Statistics,341,what kind of bias can be produce by participant unwillingness to participate,0,nonresponse bias,-1
1,Statistics,355,what kind of bias can be produce by participant unwillingness to participate,selectivity,nonresponse bias,-1
1,Statistics,364,what kind of bias can be produce by participant unwillingness to participate,attend bias,nonresponse bias,-1
1,Statistics,366,what kind of bias can be produce by participant unwillingness to participate,non response bias,nonresponse bias,1
1,Statistics,401,what kind of bias can be produce by participant unwillingness to participate,participational bias,nonresponse bias,-1
1,Statistics,103,what kind of bias can arise if the researcher ask mislead question,experimental,response bias,-1
1,Statistics,112,what kind of bias can arise if the researcher ask mislead question,response,response bias,1
1,Statistics,133,what kind of bias can arise if the researcher ask mislead question,response bias,response bias,1
1,Statistics,137,what kind of bias can arise if the researcher ask mislead question,question,response bias,-1
1,Statistics,140,what kind of bias can arise if the researcher ask mislead question,confirmation,response bias,-1
